State,District,Latitude,Longitude,District code,Population,Male,Female,Male_Literate,Female_Literate,Literate,Workers,Non_Workers,Hindus,Muslims,Housholds_with_Electric_Lighting,Households_with_Internet,Primary_Education,Secondary_Education,Literate_Education,Illiterate_Education,Age_Group_0_29,Age_Group_30_49,Households_with_Car_Jeep_Van,Households_with_Scooter_Motorcycle_Moped,Households_with_Telephone_Mobile_Phone_Landline_only,Households_with_TV_Computer_Laptop_Telephone_mobile_phone_and_Scooter_Car,Households_with_separate_kitchen_Cooking_inside_house,Ownership_Owned_Households,Ownership_Rented_Households,Main_source_of_drinking_water_Handpump_Tubewell_Borewell_Households,Location_of_drinking_water_source_Within_the_premises_Households,Household_size_1_to_2_persons,Household_size_3_to_5_persons_Households,Married_couples_1_Households,Married_couples_3_or_more_Households,Power_Parity_Rs_45000_90000,sex_ratio,literacy_rate
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,2741239,1369597,1371642,856350,626997,1483347,1323667,1417572,2399901,275970,566108,5512,344167,225957,1346992,1030640,1536378,704551,8338,96998,15483,9483,510399,559211,77594,267233,229686,107798,417387,503266,7297,1604,100.0,54.0
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,4081148,2064495,2016653,1338474,972486,2310960,2036166,2044982,3599372,443456,897970,8606,720357,331793,2426929,1369069,2189396,1104565,9915,144214,24039,14470,713663,779195,172680,117001,225275,143093,644263,718794,17947,2252,98.0,57.0
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,4174064,2090204,2083860,1484794,1183084,2667878,1933357,2240707,3737588,397870,944555,13763,770836,548336,3062955,1170993,2148179,1159053,16296,186568,35378,24934,777100,815953,196720,135531,342011,187320,678054,757090,12183,2270,100.0,64.0
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,5154296,2569688,2584608,1716933,1571644,3288577,2093681,3060615,4983330,77777,1297273,22411,947606,521562,3518619,1524603,2724328,1478954,25381,232073,65415,34494,869294,1088823,278383,342767,613789,335006,952492,1085890,7007,2865,101.0,64.0
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,4887813,2440521,2447292,1634726,1325715,2960441,2381624,2506189,4217597,559770,1186028,19383,845810,453446,3209266,1474349,2583462,1371811,17424,190079,62229,28457,917356,981115,276073,428749,554667,295615,842985,972992,11313,2657,100.0,61.0
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,3943323,2018575,1924748,1542688,1349467,2892155,1413297,2530026,2046051,1713405,869721,149034,596591,811501,3445721,556902,2249130,1068243,124106,439890,91702,200317,868553,437146,422826,8759,814362,110910,546260,692697,20914,2008,95.0,73.0
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,3776269,1880800,1895469,1257238,949591,2206829,1876768,1899501,3491139,244723,926768,8831,453505,463403,2325560,1280393,1940234,1031735,14175,192965,25539,16190,642642,823820,141432,135427,633350,201672,649211,746836,9357,2163,101.0,58.0
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,2797370,1390988,1406382,901640,728594,1630234,1410062,1387308,2595321,158887,668519,8628,346118,238811,1551232,875272,1530602,774583,11887,115078,19525,15140,435972,616617,115379,210458,354579,159883,512966,575647,4616,1584,101.0,58.0
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,4517398,2267375,2250023,1598959,1410759,3009718,2048880,2468518,4023678,307043,1163932,30438,692968,531821,3169428,1352499,2340943,1284630,27969,212111,76037,43264,838939,863382,328243,205072,611878,299154,824868,955030,6886,2557,99.0,67.0
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,4053463,2039227,2014236,1246369,880792,2127161,2029425,2024038,3328380,670737,816721,10081,672951,271828,2220285,1517933,2368684,1053618,10622,118153,30605,15373,752035,710444,156505,138946,227045,116088,547505,652567,22549,2163,99.0,52.0
Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,538,4053028,2050386,2002642,1158386,782260,1940646,2082501,1970527,3673456,334172,757821,6153,596134,308575,2049104,1604319,2360874,1027525,12615,121553,23880,11293,595275,800743,66068,166074,290371,105279,541398,632870,23895,2104,98.0,48.0
Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,535,3033288,1523030,1510258,953406,683731,1637137,1442203,1591085,2637313,342449,604719,8635,503713,373729,2029580,1199818,1735769,779738,14362,119276,28285,15872,508133,570933,90125,149702,278173,84875,419073,482906,16643,1659,99.0,54.0
Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,539,3488809,1759772,1729037,1160757,840262,2001019,1741693,1747116,3249231,188646,789225,7715,518669,367424,2188695,1294811,1932349,897137,18927,143010,23899,15308,460960,760789,103172,162241,347474,165334,578886,655150,10032,1937,98.0,57.0
Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,533,2551335,1250641,1300694,790214,599596,1389810,1261076,1290259,2123426,391596,545913,5261,421399,396396,1804547,1041862,1399773,676401,10088,102049,23277,9899,448674,490840,93887,114151,242762,90591,379595,432299,9206,1468,104.0,54.0
Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,549,3397448,1714764,1682684,1107686,796749,1904435,1700567,1696881,3150195,220654,763746,6151,495556,249034,1900943,1218310,1832695,917391,9071,105940,25076,10365,518496,717208,127205,244709,197300,181210,548015,643184,11413,1845,98.0,56.0
Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,542,2703114,1341738,1361376,857824,637557,1495381,1290288,1412826,2666950,9025,615432,3988,348354,251521,1499877,1009992,1423119,747385,5264,64087,18802,6316,548681,610487,68045,282509,107308,129328,464451,506897,8385,1475,101.0,55.0
Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873,543,2344474,1161477,1182997,707503,530885,1238388,1157962,1186512,2299129,16423,527736,4453,300057,186576,1240323,1031683,1206366,666394,5002,61858,13208,7516,443111,514227,68076,246172,95138,105327,403386,440182,6993,1306,102.0,53.0
Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509,540,3512576,1759281,1753295,1179790,885233,2065023,1705655,1806921,3273755,197333,828077,12952,457529,430242,2212184,1191252,1891954,941452,15727,139404,34782,22196,476334,761465,117060,174218,461825,168039,593070,676526,9354,1936,100.0,59.0
Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,546,3936966,1964918,1972048,1379223,1273166,2652389,1773112,2163854,3733191,86142,1017568,12050,718960,415178,2771842,1028767,2051513,1127764,14687,182698,56671,19128,645717,836015,207958,126299,593261,263697,724609,830550,5684,2260,100.0,67.0
Arunachal Pradesh,Changlang,27.36048479338845,96.37552644628106,253,148226,76948,71278,44027,29147,73174,62966,85260,47683,2134,14593,170,22537,10032,80456,57290,96630,35018,1102,2450,434,499,26837,20141,5793,9164,12040,3559,13892,21057,483,161,93.0,49.0
Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,247,78690,38775,39915,21599,16850,38449,31710,46980,12333,652,5318,57,10487,6213,44247,31763,53752,17922,577,1382,262,203,13486,12051,2014,46,2839,1562,6187,11366,266,161,103.0,49.0
Arunachal Pradesh,East Siang,28.15382352941176,95.06499226006191,251,99214,50116,49098,34210,28366,62576,40222,58992,27854,2289,14231,450,13713,10937,65119,21543,61993,25334,2072,4568,943,930,18182,11640,5518,3798,7504,2813,8102,13537,446,193,98.0,63.0
Arunachal Pradesh,Kurung Kumey,28.04853351800553,93.24531994459834,256,92076,45318,46758,20258,16348,36606,38044,54032,4859,471,3911,95,15054,6997,53659,42621,64379,20713,605,884,156,106,15498,15458,410,99,1688,832,5358,12003,403,161,103.0,40.0
Arunachal Pradesh,Lohit,27.946785273972623,96.59670770547945,259,145726,76221,69505,48380,34682,83062,60945,84781,99020,3846,17157,312,25179,13070,91574,52421,94890,35493,1203,3884,752,631,27644,17340,7188,16855,16365,3981,15082,21917,447,161,91.0,57.0
Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142,258,54080,28053,26027,18087,13762,31849,22326,31754,28915,2247,5932,207,7957,5508,33141,14406,35140,13254,703,2128,217,346,10559,5317,3805,2577,5416,1964,5222,7625,151,161,93.0,59.0
Arunachal Pradesh,Lower Subansiri,27.70849297297297,93.96226108108112,255,83030,41843,41187,29470,24587,54057,30202,52828,9551,1482,12493,381,10821,9861,54034,17273,55258,20305,2002,2973,505,655,14643,11259,3062,142,7800,2185,5721,10649,358,161,98.0,65.0
Arunachal Pradesh,Papum Pare,27.273529716981127,93.54468183962264,248,176573,89182,87391,65794,55254,121048,65772,110801,57027,6148,30539,2477,21956,20007,110815,30360,120592,43812,6454,8668,1397,4243,31671,15037,12769,662,19772,5081,16296,24776,559,193,98.0,69.0
Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283016,245,49977,29151,20826,17720,8353,26073,28561,21416,11842,787,8635,96,4730,2140,19838,19203,30709,13849,895,205,771,247,9277,6820,2134,8,3806,2397,4886,6239,21,161,71.0,52.0
Arunachal Pradesh,Tirap,26.94406229508198,95.41470327868862,254,111975,57604,54371,29313,18661,47974,50169,61806,20682,1103,16026,98,16989,7834,57106,50628,71785,25669,679,1369,163,216,18949,15861,2575,133,4989,2362,7974,13124,565,161,94.0,43.0
Arunachal Pradesh,Upper Siang,28.8309244897959,95.00155765306124,252,35320,18699,16621,10723,7472,18195,17644,17676,5261,411,6198,97,5584,2935,20992,11209,21090,8910,430,1031,99,165,6946,5393,1047,1,2537,1628,2749,4865,87,161,89.0,52.0
Arunachal Pradesh,Upper Subansiri,28.277196566523585,93.8991435622318,249,83448,41758,41690,24807,20471,45278,33370,50078,13474,521,5373,139,16118,10348,64790,28364,56054,20055,569,1435,475,189,15025,13420,1635,47,3847,1526,6935,12018,227,161,100.0,54.0
Arunachal Pradesh,West Kameng,27.46486582278483,92.65015750452083,246,83947,46155,37792,29566,18926,48492,42493,41454,31265,1970,14188,202,10317,5633,40193,25606,53026,22362,1299,1045,434,371,14843,9390,5787,92,6902,3128,8509,11500,132,161,82.0,58.0
Arunachal Pradesh,West Siang,28.106296920289843,94.53510344202908,250,112274,58168,54106,36777,27969,64746,49177,63097,15881,2218,14204,303,17675,11441,74220,27956,70415,28305,1964,4023,869,621,19907,14876,4678,541,9685,2412,8169,13982,631,161,93.0,58.0
Assam,Barpeta,26.427872264631056,90.97912010178116,303,1693622,867004,826618,499038,398020,897058,561824,1131798,492966,1198036,84804,2078,307884,121924,1083591,664161,1072312,405046,5560,24913,4125,3522,188162,326160,7625,296555,220128,31807,190552,261844,8510,161,95.0,53.0
Assam,Bongaigaon,26.45012521994133,90.6734296187684,319,738804,375818,362986,237114,196964,434078,255806,482998,359145,371033,49866,2523,138294,55924,479431,260721,458796,184849,5837,16579,3604,4174,91788,134382,12007,85906,103898,15751,85826,109693,3822,161,97.0,59.0
Assam,Cachar,24.815570668693017,92.86849650455927,316,1736617,886284,850333,639946,534182,1174128,608062,1128555,1038985,654816,140205,5316,447993,156156,1378531,357907,1048990,444899,8700,22647,8808,6365,357096,324905,25190,18687,80138,56910,203831,277244,4092,161,96.0,68.0
Assam,Darrang,26.58463215962442,92.04141338028155,325,928500,475273,453227,268666,218373,487039,324843,603657,327322,597392,45444,1166,163277,59039,575240,375556,583436,226525,3533,13662,2954,2046,89914,180669,3789,162815,110458,19407,106839,144343,3432,161,95.0,52.0
Assam,Dhemaji,27.586533438485816,94.71336908517353,308,686133,351249,334884,237761,185267,423028,316800,369333,655052,13475,28195,1192,138838,80804,521393,194984,434221,169630,3504,12293,2358,1764,118022,122182,5984,102172,71165,8303,69390,93934,4715,161,95.0,62.0
Assam,Dibrugarh,27.30612284482757,95.0998282327587,310,1326335,676434,649901,491361,393170,884531,560557,765778,1198401,64526,136685,8817,243607,139813,983760,340744,767147,371864,21112,44664,8009,14742,262021,195303,38157,227877,184468,28094,161208,196644,7610,161,96.0,67.0
Assam,Goalpara,26.017277777777807,90.59869891598912,302,1008183,513292,494891,304302,259275,563577,362573,645610,347878,579929,78641,1364,213510,73683,657440,375071,650509,239831,4112,15292,2747,2183,112139,190189,4793,126514,115683,18921,108374,149008,4475,161,96.0,56.0
